Código,Descripción,Tipo Descripción
X454,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X455,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X456,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN AREA INDUSTRIAL Y DE LA CONST",Diagnóstico (CIEX)
X460,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X461,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X459,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X457,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN GRANJA",Diagnóstico (CIEX)
X458,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION AL ALCOHOL, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X462,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X463,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X464,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X465,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X466,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X467,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X468,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X469,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALO",Diagnóstico (CIEX)
X470,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN VIVIENDA",Diagnóstico (CIEX)
X471,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN INSTITUCION RESI",Diagnóstico (CIEX)
X472,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN ESCUELAS, OTRAS",Diagnóstico (CIEX)
X473,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN AREAS DE DEPORTE",Diagnóstico (CIEX)
X474,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN CALLES Y CARRETE",Diagnóstico (CIEX)
X475,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN COMERCIO Y AREA",Diagnóstico (CIEX)
X476,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN AREA INDUSTRIAL",Diagnóstico (CIEX)
X477,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN GRANJA",Diagnóstico (CIEX)
X478,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN OTRO LUGAR ESPEC",Diagnóstico (CIEX)
X479,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES, EN LUGAR NO ESPECIF",Diagnóstico (CIEX)
X480,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN VIVIENDA",Diagnóstico (CIEX)
X481,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X482,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN ESCUELAS, OTRAS INSTITUCIO",Diagnóstico (CIEX)
X483,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN AREAS DE DEPORTE Y ATLETIS",Diagnóstico (CIEX)
X486,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN AREA INDUSTRIAL Y DE LA CO",Diagnóstico (CIEX)
X487,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN GRANJA",Diagnóstico (CIEX)
X484,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X485,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN COMERCIO Y AREA DE SERVICI",Diagnóstico (CIEX)
X488,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X489,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X490,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X491,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X492,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X493,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X494,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X495,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X496,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X497,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X498,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X499,"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCI",Diagnóstico (CIEX)
X500,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN VIVIENDA",Diagnóstico (CIEX)
X501,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X502,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN ESCUELAS, OTRAS INSTITUCI",Diagnóstico (CIEX)
X503,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN AREAS DE DEPORTE Y ATLETI",Diagnóstico (CIEX)
X504,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X505,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN COMERCIO Y AREA DE SERVIC",Diagnóstico (CIEX)
X506,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN AREA INDUSTRIAL Y DE LA C",Diagnóstico (CIEX)
X508,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X509,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X507,"EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS, EN GRANJA",Diagnóstico (CIEX)
X510,"VIAJES Y DESPLAZAMIENTOS, EN VIVIENDA",Diagnóstico (CIEX)
X511,"VIAJES Y DESPLAZAMIENTOS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X512,"VIAJES Y DESPLAZAMIENTOS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLI",Diagnóstico (CIEX)
X513,"VIAJES Y DESPLAZAMIENTOS, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X514,"VIAJES Y DESPLAZAMIENTOS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X515,"VIAJES Y DESPLAZAMIENTOS, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X516,"VIAJES Y DESPLAZAMIENTOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X517,"VIAJES Y DESPLAZAMIENTOS, EN GRANJA",Diagnóstico (CIEX)
X518,"VIAJES Y DESPLAZAMIENTOS, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X519,"VIAJES Y DESPLAZAMIENTOS, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X520,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN VIVIENDA",Diagnóstico (CIEX)
X521,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X522,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN ESCUELAS, OTRAS INSTITUCIONES Y AREA",Diagnóstico (CIEX)
X523,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X524,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X525,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X526,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X527,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN GRANJA",Diagnóstico (CIEX)
X528,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X530,"PRIVACION DE ALIMENTOS, EN VIVIENDA",Diagnóstico (CIEX)
X531,"PRIVACION DE ALIMENTOS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X532,"PRIVACION DE ALIMENTOS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICA",Diagnóstico (CIEX)
X529,"PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X533,"PRIVACION DE ALIMENTOS, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X534,"PRIVACION DE ALIMENTOS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X535,"PRIVACION DE ALIMENTOS, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X536,"PRIVACION DE ALIMENTOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X537,"PRIVACION DE ALIMENTOS, EN GRANJA",Diagnóstico (CIEX)
X538,"PRIVACION DE ALIMENTOS, EN LUGAR NO ESPECIFICADO, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X539,"PRIVACION DE ALIMENTOS, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X542,"PRIVACION DE AGUA, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS",Diagnóstico (CIEX)
X543,"PRIVACION DE AGUA, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X540,"PRIVACION DE AGUA, EN VIVIENDA",Diagnóstico (CIEX)
X541,"PRIVACION DE AGUA, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X544,"PRIVACION DE AGUA, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X545,"PRIVACION DE AGUA, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X546,"PRIVACION DE AGUA, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X547,"PRIVACION DE AGUA, EN GRANJA",Diagnóstico (CIEX)
X548,"PRIVACION DE AGUA, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X549,"PRIVACION DE AGUA, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X570,"PRIVACION NO ESPECIFICADA, EN VIVIENDA",Diagnóstico (CIEX)
X571,"PRIVACION NO ESPECIFICADA, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X572,"PRIVACION NO ESPECIFICADA, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBL",Diagnóstico (CIEX)
X574,"PRIVACION NO ESPECIFICADA, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X575,"PRIVACION NO ESPECIFICADA, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X573,"PRIVACION NO ESPECIFICADA, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X576,"PRIVACION NO ESPECIFICADA, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X578,"PRIVACION NO ESPECIFICADA, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X579,"PRIVACION NO ESPECIFICADA, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X577,"PRIVACION NO ESPECIFICADA, EN GRANJA",Diagnóstico (CIEX)
X580,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN VIVIENDA",Diagnóstico (CIEX)
X581,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X582,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMI",Diagnóstico (CIEX)
X583,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X584,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X585,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X586,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X587,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN GRANJA",Diagnóstico (CIEX)
X590,EXPOSICIÓN A FACTORES NO ESPECIFICADOS CAUSANDO FRACTURA,Diagnóstico (CIEX)
X591,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN INSTITUCION RESIDENCIAL",Diagnóstico (CIEX)
X588,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X589,"EXPOSICION A OTROS FACTORES ESPECIFICADOS, EN LUGAR NO ESPECIFICADO",Diagnóstico (CIEX)
X592,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINIS",Diagnóstico (CIEX)
X593,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISMO",Diagnóstico (CIEX)
X594,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN CALLES Y CARRETERAS",Diagnóstico (CIEX)
X595,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIOS",Diagnóstico (CIEX)
X596,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION",Diagnóstico (CIEX)
X597,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN GRANJA",Diagnóstico (CIEX)
X598,"EXPOSICION A FACTORES NO ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO",Diagnóstico (CIEX)
X599,EXPOSICIÓN A FACTORES NO ESPECIFICADOS CAUSANDO OTRAS LESIONES Y LAS NO ESPECIFICADAS,Diagnóstico (CIEX)
X600,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X601,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X602,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X603,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X604,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X605,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X606,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X607,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X608,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTI",Diagnóstico (CIEX)
X609,"ENVENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR EXPOSICION A ANALGESICOS NO NARCOTICOS,",Diagnóstico (CIEX)
X610,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X611,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X612,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X613,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X614,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X615,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X616,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X617,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X619,"ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR Y EXPOSICION A DROGAS ANTIEPILEPTICAS,",Diagnóstico (CIEX)
X620,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X618,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS",Diagnóstico (CIEX)
X621,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X622,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X623,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X624,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X625,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X626,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X627,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X628,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X629,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISL",Diagnóstico (CIEX)
X632,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X633,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X630,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X631,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X634,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X635,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X636,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X637,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X638,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X639,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUA",Diagnóstico (CIEX)
X640,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X641,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X642,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X643,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X645,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X644,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X646,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X647,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X648,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAME",Diagnóstico (CIEX)
X649,"ENVENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A OTRAS DROGAS, MEDICAMENTO",Diagnóstico (CIEX)
X651,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN INSTITUCI",Diagnóstico (CIEX)
X650,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN VIVIENDA",Diagnóstico (CIEX)
X652,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN ESCUELAS,",Diagnóstico (CIEX)
X653,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN AREAS DE",Diagnóstico (CIEX)
X654,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN CALLES Y",Diagnóstico (CIEX)
X655,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN COMERCIO",Diagnóstico (CIEX)
X656,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN AREA INDU",Diagnóstico (CIEX)
X657,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN GRANJA",Diagnóstico (CIEX)
X658,"ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR, Y EXPOSICION AL ALCOHOL, EN OTRO LUGA",Diagnóstico (CIEX)
X659,ENVENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A ALCOHOL EN LUGAR NO ESPEC,Diagnóstico (CIEX)
